PuzzleId,FEN,Moves,Rating,Themes,SAN
06TSO,r4r1k/1p2NppR/p2pb3/2n5/2P1P3/5PP1/PPB2K2/R7 b - - 0 23,h8h7 a1h1 e6h3 h1h3,1619,anastasiamate mate matein2 middlegame short,Kxh7 Rh1+ Bh3 Rxh3#
04NEh,r4r1k/ppp1Nppp/3n4/8/8/3BPq2/PPPQ3R/6K1 b - - 5 22,f7f5 h2h7 h8h7 d2h2 f3h3 h2h3,1665,anastasiamate attraction kingsideattack long mate matein3 middlegame sacrifice,f5 Rxh7+ Kxh7 Qh2+ Qh3 Qxh3#
0XFtV,r7/pb4k1/1p1Np3/4N3/7r/8/PP2n1PP/3R1RK1 w - - 2 26,g1h1 h4h2 h1h2 a8h8,1682,anastasiamate attraction mate matein2 middlegame sacrifice short,Kh1 Rxh2+ Kxh2 Rh8#
0Nn6D,2r2rk1/pb3ppp/1p6/4pN2/1PPp4/P3Pq2/1B1R4/1QR1K3 b - - 1 26,d4e3 f5e7 g8h8 b1h7 h8h7 d2h2 f3h5 h2h5,1699,anastasiamate attraction discoveredattack fork mate matein4 middlegame sacrifice verylong,dxe3 Ne7+ Kh8 Qxh7+ Kxh7 Rh2+ Qh5 Rxh5#
0MAkP,1rb4r/pp1nN1pk/1b1pNn1p/4pP2/3PP3/2P2R2/PP4PP/R1B3K1 b - - 4 18,e5d4 e6g5 h6g5 f3h3 f6h5 h3h5,1712,anastasiamate long mate matein3 middlegame sacrifice,exd4 Ng5+ hxg5 Rh3+ Nh5 Rxh5#
091nP,6k1/5pb1/1Q4pp/3P4/4rq2/4N3/P3nPPP/3R1R1K w - - 5 34,d5d6 f4h2 h1h2 e4h4,1717,anastasiamate attraction mate matein2 middlegame sacrifice short,d6 Qxh2+ Kxh2 Rh4#
0o99l,1r6/3p3k/R1n3pP/4Pp2/KP1nbP2/8/3Q3R/8 w - - 0 42,a6c6 b8a8 c6a6 a8a6,1719,anastasiamate endgame mate matein2 short,Rxc6 Ra8+ Ra6 Rxa6#
0421L,r7/p7/bp2NQpk/2p5/3p4/3P4/PPP1K2P/q7 b - - 0 39,a1c1 f6h4,1743,anastasiamate endgame mate matein1 onemove,Qc1 Qh4#
0cvna,r2qr3/6k1/p1P1b3/4p3/1Q1pN3/1B4p1/PP2n1PB/3R1R1K w - - 0 31,h2g3 e8h8 g3h2 h8h2 h1h2 d8h4,1769,anastasiamate attraction kingsideattack long mate matein3 middlegame sacrifice,Bxg3 Rh8+ Bh2 Rxh2+ Kxh2 Qh4#
0SJyX,2r3k1/1p2N1pp/pq2p3/3b3Q/P7/3R4/5bPP/7K b - - 1 33,g8h8 h5h7 h8h7 d3h3 f2h4 h3h4,1794,anastasiamate attraction long mate matein3 middlegame sacrifice,Kh8 Qxh7+ Kxh7 Rh3+ Bh4 Rxh4#
0bh9U,r4rk1/p1p2ppp/2N1p3/3p4/3P2P1/3QP2b/PPP2q2/2KR4 b - - 1 19,h3g4 c6e7 g8h8 d3h7 h8h7 d1h1 g4h3 h1h3 f2h4 h3h4,1814,anastasiamate attraction kingsideattack mate matein5 middlegame sacrifice verylong,Bxg4 Ne7+ Kh8 Qxh7+ Kxh7 Rh1+ Bh3 Rxh3+ Qh4 Rxh4#
0QIlz,r1b2rk1/3p1ppp/p3n3/1p1N3Q/2B5/4R3/PPP2qPP/1K1R4 b - - 1 21,b5c4 d5e7 g8h8 h5h7 h8h7 e3h3 f2h4 h3h4,2046,anastasiamate attraction kingsideattack mate matein4 middlegame sacrifice verylong,bxc4 Ne7+ Kh8 Qxh7+ Kxh7 Rh3+ Qh4 Rxh4#
